time,open,high,low,close,tick_volume,spread,real_volume
2022-09-09 21:00:00,0.68403,0.68432,0.68352,0.68409,2243,0,0
2022-09-09 22:00:00,0.68408,0.68478,0.68402,0.68441,1529,0,0
2022-09-09 23:00:00,0.68441,0.68457,0.6839,0.68455,906,0,0
2022-09-12 00:00:00,0.68344,0.68387,0.68286,0.68379,425,5,0
2022-09-12 01:00:00,0.68381,0.68502,0.68368,0.68476,1830,0,0
2022-09-12 02:00:00,0.68477,0.68498,0.68421,0.68457,1965,0,0
2022-09-12 03:00:00,0.68458,0.68521,0.68414,0.68429,5662,0,0
2022-09-12 04:00:00,0.68429,0.68508,0.68377,0.68464,3841,0,0
2022-09-12 05:00:00,0.68463,0.68467,0.68242,0.68269,3289,0,0
2022-09-12 06:00:00,0.68269,0.6837,0.68243,0.6835,3439,0,0
2022-09-12 07:00:00,0.6835,0.68355,0.68258,0.68288,3511,0,0
2022-09-12 08:00:00,0.6829,0.68445,0.68286,0.68445,3240,0,0
2022-09-12 09:00:00,0.68446,0.68724,0.68392,0.68721,5403,0,0
2022-09-12 10:00:00,0.68721,0.68878,0.68691,0.68785,8348,0,0
2022-09-12 11:00:00,0.68785,0.68873,0.6875,0.68832,5280,0,0
2022-09-12 12:00:00,0.68831,0.68854,0.68703,0.68713,3721,0,0
2022-09-12 13:00:00,0.68715,0.68743,0.68587,0.68719,4237,0,0
2022-09-12 14:00:00,0.6872,0.68801,0.68643,0.68781,3831,0,0
2022-09-12 15:00:00,0.68779,0.68849,0.68736,0.68782,5332,0,0
2022-09-12 16:00:00,0.68783,0.68866,0.68685,0.68859,6126,0,0
2022-09-12 17:00:00,0.6886,0.68898,0.6878,0.68846,5262,0,0
2022-09-12 18:00:00,0.68846,0.68871,0.68789,0.68851,4266,0,0
2022-09-12 19:00:00,0.6885,0.68964,0.68823,0.68942,2753,0,0
2022-09-12 20:00:00,0.68942,0.68995,0.68882,0.68934,3157,0,0
2022-09-12 21:00:00,0.68933,0.68938,0.68739,0.68798,3496,0,0
2022-09-12 22:00:00,0.68797,0.68857,0.68793,0.68827,2908,0,0
2022-09-12 23:00:00,0.68827,0.68884,0.68825,0.68884,1010,0,0
2022-09-13 00:00:00,0.68869,0.68897,0.68848,0.68872,236,0,0
2022-09-13 01:00:00,0.68872,0.68923,0.68865,0.68897,479,0,0
2022-09-13 02:00:00,0.68895,0.68963,0.68886,0.68928,1250,0,0
2022-09-13 03:00:00,0.68928,0.68992,0.68764,0.68898,4671,0,0
2022-09-13 04:00:00,0.68899,0.68943,0.6876,0.68847,4779,0,0
2022-09-13 05:00:00,0.68845,0.68849,0.68628,0.6868,3475,0,0
2022-09-13 06:00:00,0.68681,0.68749,0.68665,0.68693,2627,0,0
2022-09-13 07:00:00,0.68692,0.68755,0.68647,0.68714,2527,0,0
2022-09-13 08:00:00,0.68713,0.68803,0.68672,0.68721,3194,0,0
2022-09-13 09:00:00,0.68722,0.68853,0.6872,0.68808,5061,0,0
2022-09-13 10:00:00,0.68808,0.68897,0.68767,0.68887,4643,0,0
2022-09-13 11:00:00,0.68888,0.68987,0.68862,0.68975,3369,0,0
2022-09-13 12:00:00,0.68975,0.69088,0.68944,0.69025,3916,0,0
2022-09-13 13:00:00,0.69025,0.6914,0.68972,0.6913,3304,0,0
2022-09-13 14:00:00,0.69129,0.69162,0.69074,0.69094,3190,0,0
2022-09-13 15:00:00,0.69094,0.69104,0.67931,0.67951,16846,0,0
2022-09-13 16:00:00,0.67947,0.68157,0.67787,0.68034,14670,0,0
2022-09-13 17:00:00,0.68035,0.68054,0.67727,0.6775,12853,0,0
2022-09-13 18:00:00,0.67749,0.67812,0.67609,0.67625,6223,0,0
2022-09-13 19:00:00,0.67625,0.67709,0.67564,0.67603,3775,0,0
2022-09-13 20:00:00,0.67603,0.6768,0.67547,0.67557,3869,0,0
2022-09-13 21:00:00,0.67557,0.67571,0.67337,0.67349,2970,0,0
2022-09-13 22:00:00,0.67362,0.67375,0.67266,0.6732,3234,0,0
2022-09-13 23:00:00,0.6732,0.67349,0.67275,0.67308,1415,0,0
2022-09-14 00:00:00,0.67283,0.67378,0.67262,0.67338,565,0,0
2022-09-14 01:00:00,0.67346,0.67392,0.6725,0.6734,2461,0,0
2022-09-14 02:00:00,0.67343,0.67433,0.67281,0.67404,2646,0,0
2022-09-14 03:00:00,0.67405,0.67481,0.67303,0.67416,6552,0,0
2022-09-14 04:00:00,0.67415,0.6745,0.67292,0.67407,6579,0,0
2022-09-14 05:00:00,0.67407,0.67476,0.6731,0.67312,4852,0,0
2022-09-14 06:00:00,0.67313,0.67341,0.67254,0.67289,3814,0,0
2022-09-14 07:00:00,0.67288,0.67419,0.67231,0.67352,4109,0,0
2022-09-14 08:00:00,0.67356,0.6742,0.6721,0.67232,3752,0,0
2022-09-14 09:00:00,0.6723,0.67255,0.67101,0.67128,6308,0,0
2022-09-14 10:00:00,0.67128,0.67287,0.6705,0.67266,8785,0,0
2022-09-14 11:00:00,0.67265,0.67427,0.67247,0.67291,7602,0,0
2022-09-14 12:00:00,0.67291,0.67399,0.67244,0.67354,5290,0,0
2022-09-14 13:00:00,0.67353,0.67434,0.67251,0.67252,5059,0,0
2022-09-14 14:00:00,0.67251,0.67267,0.67066,0.67096,5901,0,0
2022-09-14 15:00:00,0.67096,0.67335,0.67072,0.67248,8936,0,0
2022-09-14 16:00:00,0.67248,0.67411,0.67217,0.67368,7347,0,0
2022-09-14 17:00:00,0.67369,0.67574,0.67224,0.67515,8419,0,0
2022-09-14 18:00:00,0.67516,0.67601,0.67445,0.67508,4228,0,0
2022-09-14 19:00:00,0.67509,0.67601,0.67472,0.67529,2816,0,0
2022-09-14 20:00:00,0.67529,0.67549,0.67425,0.67437,2629,0,0
2022-09-14 21:00:00,0.67437,0.67463,0.67389,0.67389,2286,0,0
2022-09-14 22:00:00,0.67389,0.67443,0.67329,0.67439,3116,0,0
2022-09-14 23:00:00,0.67439,0.67477,0.67426,0.67469,645,0,0
2022-09-15 00:00:00,0.67471,0.67496,0.67356,0.67471,178,0,0
2022-09-15 01:00:00,0.67493,0.67613,0.6747,0.67576,941,0,0
2022-09-15 02:00:00,0.67576,0.67622,0.67512,0.67525,1414,0,0
2022-09-15 03:00:00,0.67528,0.67529,0.67425,0.67456,1797,0,0
2022-09-15 04:00:00,0.67455,0.6766,0.67397,0.67639,3854,0,0
2022-09-15 05:00:00,0.67638,0.67702,0.67592,0.67604,2404,0,0
2022-09-15 06:00:00,0.67603,0.67629,0.67527,0.67584,1890,0,0
2022-09-15 07:00:00,0.67584,0.67621,0.67535,0.67575,2003,0,0
2022-09-15 08:00:00,0.67575,0.6758,0.67447,0.67483,2710,0,0
2022-09-15 09:00:00,0.67483,0.67589,0.67442,0.67557,3253,0,0
2022-09-15 10:00:00,0.67554,0.67624,0.67492,0.67603,4570,0,0
2022-09-15 11:00:00,0.67603,0.67607,0.674,0.67529,3494,0,0
2022-09-15 12:00:00,0.67531,0.67533,0.67354,0.6743,2898,0,0
2022-09-15 13:00:00,0.6743,0.67464,0.67183,0.67278,3318,0,0
2022-09-15 14:00:00,0.67277,0.67381,0.67247,0.67299,3322,0,0
2022-09-15 15:00:00,0.67298,0.6748,0.67181,0.67411,7323,0,0
2022-09-15 16:00:00,0.67411,0.67462,0.67165,0.6745,8042,0,0
2022-09-15 17:00:00,0.6745,0.67499,0.67139,0.67192,7174,0,0
2022-09-15 18:00:00,0.6719,0.67227,0.6705,0.67072,4547,0,0
2022-09-15 19:00:00,0.67072,0.67174,0.67025,0.67174,2357,0,0
2022-09-15 20:00:00,0.67173,0.67287,0.67144,0.6715,2911,0,0
2022-09-15 21:00:00,0.67151,0.67151,0.67022,0.67022,2456,0,0
2022-09-15 22:00:00,0.67022,0.67061,0.66959,0.6702,2673,0,0
2022-09-15 23:00:00,0.67021,0.67038,0.66982,0.67001,814,0,0
2022-09-16 00:00:00,0.66985,0.67009,0.66962,0.66975,111,15,0
2022-09-16 01:00:00,0.66975,0.66983,0.66898,0.66906,995,1,0
2022-09-16 02:00:00,0.66909,0.66927,0.66847,0.66864,1260,0,0
2022-09-16 03:00:00,0.66865,0.67075,0.6686,0.66999,2333,0,0
2022-09-16 04:00:00,0.66997,0.67124,0.66953,0.66982,3693,0,0
2022-09-16 05:00:00,0.66982,0.67111,0.66969,0.67104,3040,0,0
2022-09-16 06:00:00,0.67104,0.6722,0.67028,0.67123,2494,0,0
2022-09-16 07:00:00,0.67123,0.67239,0.67111,0.67201,1688,0,0
2022-09-16 08:00:00,0.672,0.67204,0.67016,0.67052,2187,0,0
2022-09-16 09:00:00,0.67049,0.67075,0.66915,0.6697,4254,0,0
2022-09-16 10:00:00,0.6697,0.67057,0.66698,0.66757,5084,0,0
2022-09-16 11:00:00,0.66758,0.66807,0.667,0.66745,4632,0,0
2022-09-16 12:00:00,0.66746,0.66847,0.66745,0.66757,3482,0,0
2022-09-16 13:00:00,0.66757,0.66972,0.66733,0.66931,3405,0,0
2022-09-16 14:00:00,0.66931,0.66945,0.66856,0.66911,3210,0,0
2022-09-16 15:00:00,0.66911,0.66927,0.66724,0.66724,3736,0,0
2022-09-16 16:00:00,0.66724,0.6686,0.66714,0.66818,6252,0,0
2022-09-16 17:00:00,0.6682,0.67122,0.66797,0.67044,10624,0,0
2022-09-16 18:00:00,0.67046,0.67068,0.66885,0.67014,6366,0,0
2022-09-16 19:00:00,0.67014,0.67058,0.66867,0.66946,2601,0,0
2022-09-16 20:00:00,0.66946,0.67011,0.66913,0.66939,1997,0,0
2022-09-16 21:00:00,0.66941,0.67089,0.66938,0.67058,2258,0,0
2022-09-16 22:00:00,0.67055,0.67212,0.67053,0.67191,3649,0,0
2022-09-16 23:00:00,0.6719,0.67234,0.67155,0.67174,951,0,0
2022-09-19 00:00:00,0.67139,0.67172,0.67083,0.6713,62,23,0
2022-09-19 01:00:00,0.671,0.67327,0.67084,0.67292,1437,0,0
2022-09-19 02:00:00,0.67292,0.67337,0.67241,0.67251,1807,0,0
2022-09-19 03:00:00,0.67251,0.6732,0.67201,0.67235,2711,0,0
2022-09-19 04:00:00,0.67235,0.67273,0.67161,0.67169,3133,0,0
2022-09-19 05:00:00,0.67169,0.67194,0.66984,0.67128,3641,0,0
2022-09-19 06:00:00,0.67128,0.67134,0.67023,0.67057,1839,0,0
2022-09-19 07:00:00,0.67058,0.6711,0.6702,0.67108,1460,0,0
2022-09-19 08:00:00,0.67109,0.67112,0.66928,0.66957,2833,0,0
2022-09-19 09:00:00,0.66957,0.66958,0.66852,0.66905,2666,0,0
2022-09-19 10:00:00,0.66907,0.66932,0.66813,0.66834,3749,0,0
2022-09-19 11:00:00,0.66835,0.66881,0.66758,0.66769,3050,0,0
2022-09-19 12:00:00,0.66769,0.66843,0.66729,0.66756,2232,0,0
2022-09-19 13:00:00,0.66757,0.66881,0.66723,0.66841,2038,0,0
2022-09-19 14:00:00,0.66841,0.66914,0.66755,0.66771,3075,0,0
2022-09-19 15:00:00,0.66773,0.66866,0.6676,0.66828,3394,0,0
2022-09-19 16:00:00,0.66828,0.66877,0.66721,0.66805,3792,0,0
2022-09-19 17:00:00,0.66805,0.67037,0.66754,0.67015,4825,0,0
2022-09-19 18:00:00,0.67015,0.67076,0.66923,0.66934,2963,0,0
2022-09-19 19:00:00,0.66934,0.67145,0.66919,0.67134,2073,0,0
2022-09-19 20:00:00,0.67134,0.67143,0.6705,0.67081,1552,1,0
2022-09-19 21:00:00,0.67082,0.6713,0.67068,0.67116,1482,0,0
2022-09-19 22:00:00,0.67116,0.67269,0.67116,0.67262,2736,0,0
2022-09-19 23:00:00,0.67261,0.67284,0.67226,0.67262,703,2,0
2022-09-20 00:00:00,0.67251,0.67291,0.67251,0.67277,154,9,0
2022-09-20 01:00:00,0.67272,0.67335,0.67259,0.67297,928,0,0
2022-09-20 02:00:00,0.67297,0.6735,0.6724,0.6732,1867,0,0
2022-09-20 03:00:00,0.6732,0.67471,0.67193,0.67227,4889,0,0
2022-09-20 04:00:00,0.67227,0.67282,0.6715,0.67174,3113,0,0
2022-09-20 05:00:00,0.67177,0.67333,0.67126,0.67321,2824,0,0
2022-09-20 06:00:00,0.67322,0.67322,0.67212,0.6731,2217,0,0
2022-09-20 07:00:00,0.67307,0.67309,0.67161,0.67188,1890,0,0
2022-09-20 08:00:00,0.67188,0.6726,0.67125,0.67187,1894,0,0
